Case Number,Missing Date,Gender,Race,Age Missing,Missing City,Missing State,Missing Zip,Lat,Lon,Vehicle Style,Vehicle Color
1279615,2016-10-19,Male,Black,10,Minneapolis,MN,55407,44.9398026,-93.2533339,,
1280574,2016-11-01,Female,Hispanic,10,Bullard,TX,75757,32.1398804,-95.320229,,
1187650,2012-01-20,Female,Asian,11,San Jose,CA,,37.3382082,-121.8863286,Van,Dark
1189748,2012-02-24,Male,Black,11,Los Angeles,CA,90032,34.0795169,-118.1766294,,
1200103,2012-08-02,Female,White,11,Mountain View,CA,94043,37.428434,-122.0723816,Sport Utility,Red
1202079,2012-09-04,Female,Hispanic,11,Miami Gardens,FL,33056,25.9595052,-80.2432839,,
1204800,2012-10-22,Female,Hispanic,11,Riverview,FL,33569,27.8383805,-82.2909146,,
1206517,2012-11-24,Female,White,11,Russells Point,OH,43348,40.4711612,-83.8927162,,
1207194,2012-11-03,Male,Hispanic,11,Stockton,CA,95207,37.9983748,-121.3198491,,Blue
1207353,2012-12-08,Male,Hispanic,11,East Haven,CT,6512,41.271102,-72.886993,,
1218978,2013-07-06,Male,White,11,Menifee,CA,92584,33.6557387,-117.185294,,
1220809,2013-08-07,Male,White,11,East Grand Forks,MN,56721,47.9311871,-97.009347,,
1222947,2013-09-17,Male,White,11,Spring Hill,TN,37174,35.751179,-86.9300023,,
1227965,2014-01-29,Female,Black,11,Bedford,TX,76021,32.8477269,-97.1305536,,
1234365,2014-06-25,Female,Hispanic,11,Beltsville,MD,20705,39.0455425,-76.9066829,,
1243192,2015-01-24,Female,White,11,Nevada City,CA,95959,39.2615606,-121.0160594,,
1245708,2015-01-31,Female,Biracial,11,Eureka,CA,95501,40.8134774,-124.1460963,,
1246957,2015-04-16,Male,Black,11,Hyattsville,MD,20782,38.9732233,-76.947022,,
1252544,2015-08-03,Male,Black,11,Folcroft,PA,,39.890946,-75.2837964,,
1267468,2016-05-02,Female,Am. Ind.,11,Ship Rock,NM,,36.6866691,-108.8364343,Van,Maroon
1269962,2016-06-08,Female,Black,11,Houston,TX,77014,29.9824128,-95.4620545,,
1277733,2016-09-27,Female,White,11,Catawba,NC,,35.7073558,-81.0756345,,
1189111,2012-02-13,Female,White,12,Kalispell,MT,,48.1919889,-114.316813,Coupe,Black
1189898,2012-02-28,Female,Black,12,Lake Worth,FL,33460,26.6188279,-80.0590804,,
1190506,2012-03-09,Male,Am. Ind.,12,Lumberton,NC,,34.6182199,-79.0086424,Truck,Blue
1195744,2012-05-31,Female,White,12,El Dorado,KS,67042,37.81724,-96.8622524,"Sedan, 4 door",White
1197391,2012-06-23,Female,White,12,Margate,FL,33063,26.2551386,-80.2042436,"Sedan, 4 door",Silver
1199667,2012-07-28,Female,Black,12,Little Rock,AR,,34.7464809,-92.2895948,"Sedan, 4 door",Black
1200867,2012-08-09,Female,Hispanic,12,Falfurrias,TX,78355,27.2269872,-98.1441714,,
1202242,2012-09-07,Female,Black,12,North Miami,FL,,25.8900949,-80.1867138,,
1203015,2012-09-21,Male,White,12,Coeur D'Alene,ID,,47.6776832,-116.7804664,,
1203072,2012-09-23,Female,White,12,Newport,NC,28570,34.7865497,-76.8591057,"Sedan, 2 door",Red
1204746,2012-10-20,Female,White,12,Clayton,NJ,8312,39.657554,-75.1264462,,
1207967,2012-12-18,Female,Hispanic,12,Chesapeake,VA,23324,36.8022774,-76.2768755,"Sedan, 2 door",Red
1210856,2013-02-14,Female,White,12,Arroyo Grande,CA,93420,35.1185868,-120.5907252,,
1218919,2013-07-04,Male,Hispanic,12,Brooklyn,NY,11207,40.6655101,-73.8918897,,
1220075,2013-07-26,Male,Black,12,Saint Louis,MO,63136,38.7470186,-90.2526163,,
1221488,2013-08-19,Female,White,12,Golden City,MO,,37.3931054,-94.0938304,,
1222308,2013-09-04,Male,Black,12,Los Angeles,CA,90047,33.9519253,-118.3082034,,
1229206,2014-03-03,Female,Hispanic,12,Salt Lake City,UT,84119,40.7095135,-111.9641728,,
1234541,2014-06-30,Female,Black,12,Saint James,LA,70086,29.9828316,-90.8308712,,
