Case Type,Case Number,Status,Source,Incident Date,Incident Time,Incident Location Type,Incident Location,Incident City,Incident State,Incident Zip,Incident County,Child ID 1,Child ID 2,Child ID 3,Child ID 4,Child ID 5,Child ID 6,Child Race 1,Child Race 2,Child Race 3,Child Race 4,Child Race 5,Child Race 6,Child Gender 1,Child Gender 2,Child Gender 3,Child Gender 4,Child Gender 5,Child Gender 6,Child Perceived Age 1,Child Perceived Age 2,Child Perceived Age 3,Child Perceived Age 4,Child Perceived Age 5,Child Perceived Age 6,Offender Gender 1,Offender Gender 2,Offender Gender 3,Offender Race 1,Offender Race 2,Offender Race 3,Offender Age 1,Offender Age 2,Offender Age 3,Offender Perceived Age 1,Offender Perceived Age 2,Offender Perceived Age 3,Vehicle Style 1,Vehicle Style 2,Vehicle Color 1,Vehicle Color 2,How Got Away,How Got Away Detail,Offender Method Animal,Offender Method Candy,Offender Method Money,Offender Method Ride,Offender Method Other,Offender Method Other Detail
Attempted Abduction,1233605,Closed,Internet,6/11/2014,3:00 PM,Street,W 29th Ave & Chase St,Wheat Ridge,CO,80214,Jefferson,511050,,,,,,Unknown,,,,,,Female,,,,,,10,,,,,,Male,,,White,,,35,,,,,,,,,,Fought/Broke Free,,0,0,0,0,-1,None
Attempted Abduction,1258797,Closed,Internet,11/30/2015,12:00 AM,School - Bus Stop,W 2nd St & Denver St,Waterloo,IA,50701,Black Hawk,549186,,,,,,Unknown,,,,,,Male,,,,,,9,,,,,,Female,,,Unknown,,,,,,20-29,,,,,,,Adult/Child Intervened,,0,0,0,0,-1,Questions
Attempted Abduction,1233601,Closed,Internet,6/11/2014,7:30 PM,School - Bus Stop,W 35th Ave & Sheridan Blvd,Edgewater,CO,80212,Jefferson,511046,,,,,,Unknown,,,,,,Female,,,,,,16,,,,,,Male,,,Black,,,,,,30-49,,,Truck,,Dark,,Fought/Broke Free,,0,0,0,-1,-1,Asked for directions
Attempted Abduction,1216293,Closed,Internet,5/6/2013,12:00 AM,Street,W 43rd St & Georgetown Dr,Loveland,CO,80538,Larimer,487401,,,,,,Unknown,,,,,,Female,,,,,,12,,,,,,Male,Male,,White,Hispanic,,,,,30-40,30-40,,Van,,Blue,,Ran Away,,0,0,0,0,-1,None
Attempted Abduction,1277315,Closed,Internet,9/21/2016,8:16 AM,Street,W 51st St,La Grange,IL,60525,Cook,575210,,,,,,Unknown,,,,,,Female,,,,,,10,,,,,,Male,,,White,,,,,,Unknown,,,Sport Utility,,Blue,,Ignored/Refused,,0,0,0,-1,0,
Attempted Abduction,1246858,Closed,Internet,4/13/2015,11:25 AM,Street,W 5th St & Pacific Ave,Long Beach,CA,90802,Los Angeles,530805,,,,,,Unknown,,,,,,Female,,,,,,Unknown,,,,,,Male,,,Black,,,38,,,,,,,,,,Adult/Child Intervened,,0,0,0,0,-1,None
Attempted Abduction,1277296,Closed,Internet,9/21/2016,8:00 AM,Street,W 7th Ave,Roselle,NJ,7203,Union,575184,,,,,,Black,,,,,,Female,,,,,,12,,,,,,Male,,,White,,,,,,30-39,,,Sport Utility,,Silver,,Fought/Broke Free,Ran Away,0,0,0,0,-1,Gift
Attempted Abduction,1270483,Closed,Internet,6/8/2016,3:00 PM,Street,W 7th St & Highlawn Ave,Brooklyn,NY,11223,New York,565773,,,,,,Unknown,,,,,,Female,,,,,,11,,,,,,Male,,,White,,,,,,20--30,,,,,,,Ran Away,Broke free; Screamed,0,0,0,0,-1,None
Attempted Abduction,1260920,Closed,Internet,1/8/2016,3:50 PM,Street,W 8th St & Park Ave,Deer Park,NY,11729,Suffolk,552124,,,,,,Unknown,,,,,,Male,,,,,,Unknown,,,,,,Male,,,Unknown,,,,,,Unknown,,,,,Dark,,Unknown,,0,0,-1,0,-1,Restaurant
Attempted Abduction,1190889,Closed,Internet,3/14/2012,12:00 AM,Street,W 9th St,Fond du Lac,WI,54935,Fond du Lac,459274,,,,,,Unknown,,,,,,Female,,,,,,13,,,,,,Male,Male,,White,Black,,,,,Unknown,22,,Van,,Blue,,Ignored/Refused,Ran Away,0,0,0,-1,0,
Attempted Abduction,1280611,Closed,Internet,10/28/2016,12:00 AM,Street,W Arkansas Ln & W Green Oaks Blvd,Arlington,TX,76013,Tarrant,579570,,,,,,Unknown,,,,,,Female,,,,,,11,,,,,,Male,,,Unknown,,,,,,50-59,,,,,,,Fought/Broke Free,Ran away,0,0,0,0,-1,None
